0f 09 01 01 05 01 05 01 05 05 01 05 01 05 05 03
09 02 0a 0a 0f 0a 0f 0a 0b 0b 0a 09 04 05 05 02
0a 0a 0a 0a 0b 0a 0b 0a 0a 0a 0a 0c 01 05 05 02
08 02 08 04 04 04 04 04 00 00 04 05 04 05 05 02
0a 0a 08 05 05 05 05 07 0e 0e 0d 05 05 05 07 0a
08 02 0a 09 05 03 0d 05 05 05 01 05 03 09 01 02
0a 0a 0a 0c 03 0a 09 05 05 05 02 0b 0a 0a 0a 0a
08 02 0a 09 06 0a 0a 09 01 05 04 02 0a 0a 0a 0a
0a 0a 0a 0c 03 0c 06 0c 06 0d 05 02 0c 00 06 0a
08 02 08 05 06 0d 05 05 05 01 05 06 0d 00 07 0a
0a 0a 08 07 09 05 05 05 01 06 09 05 05 04 05 06
08 02 08 07 0a 09 05 05 00 07 0a 09 05 05 05 03
0a 0a 08 07 0a 0a 0f 09 06 0d 02 0a 09 05 05 06
0a 0a 08 07 0a 0a 09 06 0d 05 02 0a 0a 09 05 03
0a 0e 0c 05 04 04 04 05 05 05 04 06 0c 06 09 06
0e 0d 05 05 05 05 05 05 05 05 05 05 05 05 06 0f
